,platform,method,size_a_n,size_a_m,size_b_n,size_b_m,time
0,cuda,suma,1000,1000,1000,1000,0.0038956799507141116
1,cuda,resta,1000,1000,1000,1000,0.0002508159875869751
2,cuda,division,1000,1000,1000,1000,0.00028620800375938417
3,cuda,multiplicacion,1000,1000,1000,1000,0.00024185599386692048
4,cl,suma,1000,1000,1000,1000,0.005732059478759766
5,cl,resta,1000,1000,1000,1000,0.0013260841369628906
6,cl,division,1000,1000,1000,1000,0.0012636184692382812
7,cl,multiplicacion,1000,1000,1000,1000,0.0012536048889160156
8,numpy,suma,1000,1000,1000,1000,0.001125335693359375
9,numpy,resta,1000,1000,1000,1000,0.0008196830749511719
10,numpy,division,1000,1000,1000,1000,0.0007479190826416016
11,numpy,multiplicacion,1000,1000,1000,1000,0.0006959438323974609
12,cuda,suma,1000,1000,1000,1000,0.00029955199360847475
13,cuda,resta,1000,1000,1000,1000,0.00024457600712776185
14,cuda,division,1000,1000,1000,1000,0.0002409600019454956
15,cuda,multiplicacion,1000,1000,1000,1000,0.00025724801421165465
16,cl,suma,1000,1000,1000,1000,0.002636432647705078
17,cl,resta,1000,1000,1000,1000,0.0004534721374511719
18,cl,division,1000,1000,1000,1000,0.00038504600524902344
19,cl,multiplicacion,1000,1000,1000,1000,0.00043654441833496094
20,numpy,suma,1000,1000,1000,1000,0.0007145404815673828
21,numpy,resta,1000,1000,1000,1000,0.0007560253143310547
22,numpy,division,1000,1000,1000,1000,0.0007157325744628906
23,numpy,multiplicacion,1000,1000,1000,1000,0.0006740093231201172
24,cuda,suma,1000,1000,1000,1000,0.00023948800563812256
25,cuda,resta,1000,1000,1000,1000,0.00023916800320148468
26,cuda,division,1000,1000,1000,1000,0.0002446720004081726
27,cuda,multiplicacion,1000,1000,1000,1000,0.00023263999819755554
28,cl,suma,1000,1000,1000,1000,0.0022597312927246094
29,cl,resta,1000,1000,1000,1000,0.0002713203430175781
30,cl,division,1000,1000,1000,1000,0.00019240379333496094
31,cl,multiplicacion,1000,1000,1000,1000,0.00018072128295898438
32,numpy,suma,1000,1000,1000,1000,0.0006966590881347656
33,numpy,resta,1000,1000,1000,1000,0.0007123947143554688
34,numpy,division,1000,1000,1000,1000,0.0006811618804931641
35,numpy,multiplicacion,1000,1000,1000,1000,0.0006768703460693359
36,cuda,suma,1000,1000,1000,1000,0.00024831999838352206
37,cuda,resta,1000,1000,1000,1000,0.00024348799884319305
38,cuda,division,1000,1000,1000,1000,0.00023792000114917757
39,cuda,multiplicacion,1000,1000,1000,1000,0.0002455040067434311
40,cl,suma,1000,1000,1000,1000,0.002209186553955078
41,cl,resta,1000,1000,1000,1000,0.00021457672119140625
42,cl,division,1000,1000,1000,1000,0.00018477439880371094
43,cl,multiplicacion,1000,1000,1000,1000,0.00020551681518554688
44,numpy,suma,1000,1000,1000,1000,0.0006864070892333984
45,numpy,resta,1000,1000,1000,1000,0.0006668567657470703
46,numpy,division,1000,1000,1000,1000,0.0007150173187255859
47,numpy,multiplicacion,1000,1000,1000,1000,0.0006766319274902344
48,cuda,suma,1000,1000,1000,1000,0.00023548799753189087
49,cuda,resta,1000,1000,1000,1000,0.0002383359968662262
50,cuda,division,1000,1000,1000,1000,0.00023664000630378723
51,cuda,multiplicacion,1000,1000,1000,1000,0.00023500800132751466
52,cl,suma,1000,1000,1000,1000,0.002156496047973633
53,cl,resta,1000,1000,1000,1000,0.0002257823944091797
54,cl,division,1000,1000,1000,1000,0.00018453598022460938
55,cl,multiplicacion,1000,1000,1000,1000,0.00020074844360351562
56,numpy,suma,1000,1000,1000,1000,0.0007030963897705078
57,numpy,resta,1000,1000,1000,1000,0.0006647109985351562
58,numpy,division,1000,1000,1000,1000,0.0006971359252929688
59,numpy,multiplicacion,1000,1000,1000,1000,0.0006744861602783203
60,cuda,suma,1000,1000,1000,1000,0.00023721599578857422
61,cuda,resta,1000,1000,1000,1000,0.00023839999735355378
62,cuda,division,1000,1000,1000,1000,0.0002354239970445633
63,cuda,multiplicacion,1000,1000,1000,1000,0.00023686400055885316
64,cl,suma,1000,1000,1000,1000,0.0021948814392089844
65,cl,resta,1000,1000,1000,1000,0.00021457672119140625
66,cl,division,1000,1000,1000,1000,0.0001926422119140625
67,cl,multiplicacion,1000,1000,1000,1000,0.00019288063049316406
68,numpy,suma,1000,1000,1000,1000,0.0006906986236572266
69,numpy,resta,1000,1000,1000,1000,0.0006814002990722656
70,numpy,division,1000,1000,1000,1000,0.0006654262542724609
71,numpy,multiplicacion,1000,1000,1000,1000,0.000675201416015625
72,cuda,suma,1000,1000,1000,1000,0.00023615999519824982
73,cuda,resta,1000,1000,1000,1000,0.00023852799832820893
74,cuda,division,1000,1000,1000,1000,0.0002423360049724579
75,cuda,multiplicacion,1000,1000,1000,1000,0.00023552000522613525
76,cl,suma,1000,1000,1000,1000,0.002183198928833008
77,cl,resta,1000,1000,1000,1000,0.00022220611572265625
78,cl,division,1000,1000,1000,1000,0.00020694732666015625
79,cl,multiplicacion,1000,1000,1000,1000,0.00018167495727539062
80,numpy,suma,1000,1000,1000,1000,0.0006961822509765625
81,numpy,resta,1000,1000,1000,1000,0.0006866455078125
82,numpy,division,1000,1000,1000,1000,0.0006918907165527344
83,numpy,multiplicacion,1000,1000,1000,1000,0.0006616115570068359
84,cuda,suma,1000,1000,1000,1000,0.00026713600754737853
85,cuda,resta,1000,1000,1000,1000,0.00023692800104618074
86,cuda,division,1000,1000,1000,1000,0.00023503999412059784
87,cuda,multiplicacion,1000,1000,1000,1000,0.0002393919974565506
88,cl,suma,1000,1000,1000,1000,0.002229452133178711
89,cl,resta,1000,1000,1000,1000,0.00021529197692871094
90,cl,division,1000,1000,1000,1000,0.0002002716064453125
91,cl,multiplicacion,1000,1000,1000,1000,0.00019240379333496094
92,numpy,suma,1000,1000,1000,1000,0.0007343292236328125
93,numpy,resta,1000,1000,1000,1000,0.0007495880126953125
94,numpy,division,1000,1000,1000,1000,0.0008242130279541016
95,numpy,multiplicacion,1000,1000,1000,1000,0.000797271728515625
96,cuda,suma,1000,1000,1000,1000,0.0002770240008831024
97,cuda,resta,1000,1000,1000,1000,0.0002458239942789078
98,cuda,division,1000,1000,1000,1000,0.0002566080093383789
99,cuda,multiplicacion,1000,1000,1000,1000,0.00024083200097084045
100,cl,suma,1000,1000,1000,1000,0.0023870468139648438
101,cl,resta,1000,1000,1000,1000,0.0002338886260986328
102,cl,division,1000,1000,1000,1000,0.00019502639770507812
103,cl,multiplicacion,1000,1000,1000,1000,0.00022554397583007812
104,numpy,suma,1000,1000,1000,1000,0.0007381439208984375
105,numpy,resta,1000,1000,1000,1000,0.0007002353668212891
106,numpy,division,1000,1000,1000,1000,0.0006737709045410156
107,numpy,multiplicacion,1000,1000,1000,1000,0.0006945133209228516
108,cuda,suma,1000,1000,1000,1000,0.0002935999929904938
109,cuda,resta,1000,1000,1000,1000,0.00027510398626327516
110,cuda,division,1000,1000,1000,1000,0.00024182400107383728
111,cuda,multiplicacion,1000,1000,1000,1000,0.00024198399484157563
112,cl,suma,1000,1000,1000,1000,0.002403736114501953
113,cl,resta,1000,1000,1000,1000,0.00029921531677246094
114,cl,division,1000,1000,1000,1000,0.0002536773681640625
115,cl,multiplicacion,1000,1000,1000,1000,0.00019884109497070312
116,numpy,suma,1000,1000,1000,1000,0.0006802082061767578
117,numpy,resta,1000,1000,1000,1000,0.0007042884826660156
118,numpy,division,1000,1000,1000,1000,0.0006911754608154297
119,numpy,multiplicacion,1000,1000,1000,1000,0.0006849765777587891
120,cuda,suma,2000,2000,2000,2000,0.000381632000207901
121,cuda,resta,2000,2000,2000,2000,0.0007821760177612305
122,cuda,division,2000,2000,2000,2000,0.0007794240117073059
123,cuda,multiplicacion,2000,2000,2000,2000,0.000787007987499237
124,cl,suma,2000,2000,2000,2000,0.008088350296020508
125,cl,resta,2000,2000,2000,2000,0.0006573200225830078
126,cl,division,2000,2000,2000,2000,0.0006418228149414062
127,cl,multiplicacion,2000,2000,2000,2000,0.0006415843963623047
128,numpy,suma,2000,2000,2000,2000,0.0038750171661376953
129,numpy,resta,2000,2000,2000,2000,0.003694772720336914
130,numpy,division,2000,2000,2000,2000,0.0035903453826904297
131,numpy,multiplicacion,2000,2000,2000,2000,0.003490924835205078
132,cuda,suma,2000,2000,2000,2000,0.0003745599985122681
133,cuda,resta,2000,2000,2000,2000,0.0008042560219764709
134,cuda,division,2000,2000,2000,2000,0.0007865279912948608
135,cuda,multiplicacion,2000,2000,2000,2000,0.0007848320007324219
136,cl,suma,2000,2000,2000,2000,0.008333683013916016
137,cl,resta,2000,2000,2000,2000,0.0006530284881591797
138,cl,division,2000,2000,2000,2000,0.0006463527679443359
139,cl,multiplicacion,2000,2000,2000,2000,0.0006489753723144531
140,numpy,suma,2000,2000,2000,2000,0.0037453174591064453
141,numpy,resta,2000,2000,2000,2000,0.003525972366333008
142,numpy,division,2000,2000,2000,2000,0.003272533416748047
143,numpy,multiplicacion,2000,2000,2000,2000,0.0030808448791503906
144,cuda,suma,2000,2000,2000,2000,0.0005340800285339356
145,cuda,resta,2000,2000,2000,2000,0.0005671039819717407
146,cuda,division,2000,2000,2000,2000,0.0009279360175132752
147,cuda,multiplicacion,2000,2000,2000,2000,0.0008013120293617248
148,cl,suma,2000,2000,2000,2000,0.00815725326538086
149,cl,resta,2000,2000,2000,2000,0.0006487369537353516
150,cl,division,2000,2000,2000,2000,0.0006444454193115234
151,cl,multiplicacion,2000,2000,2000,2000,0.0006413459777832031
152,numpy,suma,2000,2000,2000,2000,0.003524303436279297
153,numpy,resta,2000,2000,2000,2000,0.003410816192626953
154,numpy,division,2000,2000,2000,2000,0.003307819366455078
155,numpy,multiplicacion,2000,2000,2000,2000,0.003128528594970703
156,cuda,suma,2000,2000,2000,2000,0.0003744960129261017
157,cuda,resta,2000,2000,2000,2000,0.0008142719864845276
158,cuda,division,2000,2000,2000,2000,0.0007857599854469299
159,cuda,multiplicacion,2000,2000,2000,2000,0.0007895039916038513
160,cl,suma,2000,2000,2000,2000,0.00800943374633789
161,cl,resta,2000,2000,2000,2000,0.0006542205810546875
162,cl,division,2000,2000,2000,2000,0.000640869140625
163,cl,multiplicacion,2000,2000,2000,2000,0.0006425380706787109
164,numpy,suma,2000,2000,2000,2000,0.003742218017578125
165,numpy,resta,2000,2000,2000,2000,0.00341033935546875
166,numpy,division,2000,2000,2000,2000,0.003209829330444336
167,numpy,multiplicacion,2000,2000,2000,2000,0.0030438899993896484
168,cuda,suma,2000,2000,2000,2000,0.0003671039938926697
169,cuda,resta,2000,2000,2000,2000,0.0008045120239257812
170,cuda,division,2000,2000,2000,2000,0.0007855039834976196
171,cuda,multiplicacion,2000,2000,2000,2000,0.0007837120294570922
172,cl,suma,2000,2000,2000,2000,0.007650613784790039
173,cl,resta,2000,2000,2000,2000,0.0006387233734130859
174,cl,division,2000,2000,2000,2000,0.0006427764892578125
175,cl,multiplicacion,2000,2000,2000,2000,0.0006427764892578125
176,numpy,suma,2000,2000,2000,2000,0.0036334991455078125
177,numpy,resta,2000,2000,2000,2000,0.0033626556396484375
178,numpy,division,2000,2000,2000,2000,0.003214120864868164
179,numpy,multiplicacion,2000,2000,2000,2000,0.0030298233032226562
180,cuda,suma,2000,2000,2000,2000,0.0003705599904060364
181,cuda,resta,2000,2000,2000,2000,0.000781503975391388
